"순번","시군구명","주소","상세위치","거치대 유무","거치대 크기"
"1","종로구","팔판동 115-63","청와대 춘추문 맞은편 인근","Y","6"
"2","종로구","연건동 218-1","KT광화문 혜화지사 앞","Y","6"
"3","종로구","연건동 178-3","홍익대학교 대학로 맞은편","Y","6"
"4","종로구","동승동 1-24","대학로 마로니에공원 앞","Y","8"
"5","종로구","와룡동 75-4","연악사 맞은편","Y","8"
"6","종로구","명륜4가 96-4","흥사단 동숭미술관 맞은편","Y","6"
"7","종로구","소격동 165-5","국립현대미술관 앞","Y","6"
"8","종로구","신문로1가 5-4","새문안교회 앞","Y","8"
"9","종로구","신문로 2가 58","(구) 경찰박물관 앞","Y","8"
"10","종로구","무악동 41-7","무악현대아파트 앞","Y","6"
"11","종로구","사직동 45-4","사직공원 맞은편","Y","8"
"12","종로구","내자동 186-3","서울경찰청 민원봉사실 앞","Y","6"
"13","종로구","적선동 8-1","경복궁역 4번출구 근처","Y","8"
"14","종로구","세종로 84-8","광화문역 2번 출구 근처","Y","8"
"15","종로구","공평동 100-19","종각역 2번 출구 근처","Y","6"
"16","종로구","서린동 26-1","종각역 5번 출구 근처","Y","6"
"17","종로구","종로2가 84-11","YBM어학원 앞","Y","8"
"18","중구","중구 을지로 42","을지로입구역 7번출구 자전거 거치대 옆","Y","5"
"19","중구","중구 을지로 2가 206","IBK 파이낸스타워 출입구 앞","Y","5"
"20","중구","중구 을지로 178","을지로4가역 9번~10번 출구 부근","Y","6"
"21","중구","중구 을지로 50","을지로입구역 6번출구 뒷편","Y","5"
"22","용산구","용산구 갈월동 69-29","숙대입구역 10번 출구 앞","N",""
"23","용산구","용문동 5-157","효창공원앞역 5번출구","Y","6"
"24","용산구","한남동 728-1","한강진역 2번출구 뒤","Y","6"
"25","용산구","이태원동 127-6","스타벅스 이태원역점 옆","Y","6"
"26","용산구","갈월동 92","용산빌딩 앞","Y","6"
"27","성동구","홍익동 614-1","상왕십리역 1번 출구 따릉이 거치대 인근","N","8"
"28","광진구","자양동854","뚝섬유원지역 1번 축구 인근","N",""
"29","동대문구","장안동 416-10","창도빌딩 앞(지하철 환풍구 옆 가로등 가로수 사이)","N",""
"30","동대문구","답십리동 497-23","천호대로 257 청계푸르지오시티오피스텔 앞","N",""
"31","동대문구","신설동 98-32","신설동역 5번출구 뒤 자전거보관대 옆(파리바게트 앞)","N",""
"32","동대문구","휘경동 255-4","회기로 195 셰계주류마켓 앞 보도","N",""
"33","동대문구","전농동 687","도미노피자 전농점 앞","N",""
"34","동대문구","전농동 591-53","청량리역광장 서울청년센터 동대문오랑 앞","N",""
"35","동대문구","이문동 329-1","스타벅스 외대정문점 앞","N",""
"36","동대문구","전농동 295-53","우리은행 전농동지점 앞","N",""
"37","동대문구","장안동 307-6","투썸플레이스 장안동 사거리점 앞","N",""
"38","동대문구","휘경동 267-10","에스오일주유소 앞 따릉이대여소 옆","N",""
"39","동대문구","전농동 103-340","시티프라자 앞","N",""
"40","동대문구","용두동 47-1","LG전자베스트샵 주차장 앞 보도","N",""
"41","동대문구","장안동 368-1","아트몰링 장안점 앞","N",""
"42","동대문구","전농동 10","베스킨라빈스 전농점 앞","N",""
"43","성북구","성북구 석관동 375-54","석계역 7번 출구 우측 측면","Y","6"
"44","성북구","성북구 월곡동 37-4","월곡역 3번 출구 좌측 전방","Y","6"
"45","성북구","성북구 종암동 3-1288","종암박스파크 북서측 화장실 측면","Y","8"
"46","강북구","수유동 230-10","수유역 5번 출구 앞","N",""
"47","강북구","미아동 42-11","다이소 미아사거리점 앞","N","5"
"48","강북구","미아동 125-33","미아역 4번 출구 앞","N","4"
"49","강북구","미아동 134-39","이디야커피 미아중앙점 앞","N","4"
"50","강북구","미아동 160-14","얼맥당 수유점 앞","N","4"
"51","강북구","번동 418-9","수유역 1번 출구 앞","N","4"
"52","강북구","미아동 190-1","아름다운가게 미아점 앞","N","4"
"53","강북구","번동 449-1","롯데시네마 수유점 앞","N","4"
"54","강북구","수유동 183-4","일미만두 앞","N","5"
"55","도봉구","창동 723-11","창동 메가박스 앞","N",""
"56","도봉구","쌍문동 83-4","크로커다일 앞","N",""
"57","도봉구","방학동 710","겨울마당 앞","N",""
"58","도봉구","방학동 707-10","홈플러스(소방학교 맞은 편)","N",""
"59","노원구","중계동 503-3","중계역 4번 출구 앞","N",""
"60","노원구","노해로 452","노원역 6번 출구 인근","N","5"
"61","노원구","하계동 284-2","하계역 2번 출구 앞","N","5"
"62","노원구","하계동 284-2","하계역 3번 출구 앞","N","5"
"63","은평구","은평구 녹번동 282","녹번역 1번출구 앞","N",""
"64","은평구","은평구 불광동 274-12","불광역 8번출구 옆","N",""
"65","서대문구","창천동 30-16","신촌역 2번 출구 측면","N",""
"66","마포구","대흥동 105-47","대흥역 1번출구 앞","N",""
"67","마포구","성산동 592-6","마포구청역 2번출구 앞","N",""
"68","마포구","아현동 329-15","아현역 4번출구","N",""
"69","마포구","망원동 377-18","망원역2번출구(이니스프리앞)","N",""
"70","마포구","공덕동255-10","공덕역 5번 출구(엘리베이터앞)","N",""
"71","마포구","창전동 146-6","광흥창역 5번 출구 인근(한국조폐공사앞)","N",""
"72","마포구","노고산동 57-2","신촌역 7번출구 계단뒷편 스파오앞","N",""
"73","마포구","아현동 607-1","애오개역 4번 출구(화단앞)","N",""
"74","마포구","대흥동 2-6","이대역 5번 출구(화단앞)","N",""
"75","마포구","성산동 266-1","마포구청역 4번 출구(LG전자앞)","N",""
"76","양천구","목동동로 151","서울출입국?외국인청입구","Y","5"
"77","양천구","신정동 322-3","햇빛문고 앞","Y","5"
"78","양천구","신정동 322-4","양천문화회관 앞(양천문화회관 따릉이 거치대 옆)","Y","8"
"79","양천구","신정동 324-4","한사랑교회 앞(한사랑교회 앞 따릉이 거치대 옆)","Y","6"
"80","강서구","마곡동 727-1222","발산역 8번 출구","N",""
"81","강서구","마곡동 727-1428","마곡역 3번 출구","Y","8"
"82","강서구","마곡동 728-163","마곡역 6번 출구","Y","6"
"83","강서구","마곡동 721-4","마곡역 5번 출구","Y","6"
"84","강서구","마곡동 799","마곡역 4번 출구/ 출구 자전거 도로 측면 ","Y","6"
"85","강서구","마곡중앙5로 6","마곡나루역1번 출구/출입구 측면","Y","6"
"86","강서구","마곡중앙5로 6","마곡나루역 2번 출구","Y","6"
"87","강서구","마곡동 767","마곡광장 입구/입구 자전거 도로 측면","Y","6"
"88","강서구","마곡동 728-190","마곡나루역 4번 출구/출입구 측면","Y","6"
"89","강서구","마곡동 727-1221","발산역 1번 출구/출구 바로 앞 따릉이 거치대 맞은편","Y","6"
"90","강서구","등촌동 673","발산역 3,4번 출구 사이/출구 사이 엘리베이터 측면","Y","6"
"91","강서구","등촌동 673-1","발산역 4번 출구/자전거 거치대 끝나는 부근","Y","6"
"92","강서구","공항대로 227","발산9번, 마곡3번 출구 사이","Y","6"
"93","강서구","화곡로 416","가양역 7번출구","Y","6"
"94","강서구","등촌동 78-7","가양역 8번 출구 앞","Y","6"
"95","강서구","등촌동 666-2","가양역 6, 7번 출구 사이","Y","6"
"96","강서구","등촌동 648-4","등촌역 1번 출구","Y","6"
"97","강서구","가양동 449-30","증미역 1번 출구","Y","6"
"98","강서구","가양동 449-30","증미역 2번 출구","Y","6"
"99","강서구","가양동 449-30","증미역 1,2번 출구 사이","Y","6"
"100","강서구","마곡중앙5로 87","신방화역5, 6번 출구 사이","Y","6"
"101","구로구","구로동 603-13","구로역 3번 출구 앞(구로역광장)","Y","6"
"102","구로구","신도림동 347-20","신도림역 1번 출구 앞(디큐브해바라기공원 앞)","Y","6"
"103","금천구","가산동 60-15","가산디지털단지역 4번 출구 뒤편","N",""
"104","금천구","가산동 371-28","가산디지털단지역 6번 출구 앞","N",""
"105","금천구","가산동 757","독산역 2번 출구 인근","N",""
"106","금천구","시흥동 1020","금천구청 옆 따릉이 대여소 인근","N",""
"107","금천구","시흥동 984","금천고 버스정류장(18534) 인근","N",""
"108","동작구","본동 344-10","노들역 1번 출구 측면","N","6"
"109","동작구","동작동 55-3","정금마을 버스정류소(20701) 인근","N","6"
"110","동작구","대방동 356-2","공군호텔 버스정류소(20107) 인근","N","6"
"111","관악구","봉천동 869-1","서울대입구역 4번 출구 인근","N","6"
"112","관악구","남부순환로 1805","서울대입구역 5번 출구 인근","N","5"
"113","관악구","남부순환로 1900","낙성대입구 교차로 인근","N","6"
"114","관악구","남부순환로 1926","낙성대역 3번 출구 인근","N","5"
"115","관악구","남부순환로 1950","낙성대역 버스정류소 주변","N","3"
"116","관악구","남부순환로 1710","봉천역 3번 출구 인근","N","5"
"117","서초구","서초동 1374","대륭서초타워 앞(우성아파트 앞 사거리)","N",""
"118","서초구","서초동 1374","현대렉시온 앞(뱅뱅사거리 근처)","N",""
"119","서초구","서초동 1375","강남대로 올리브영 앞","N",""
"120","서초구","서초동 1720-11","대검찰청 건너편(흰물결아트센터 앞)","N",""
"121","서초구","서초동 1582-12","교대입구 삼거리(커피빈 앞)","N",""
"122","서초구","잠원동 87-1","논현역 6번 출구","N",""
"123","서초구","반포동 63-2","서래공원 따릉이 정류소 옆","N",""
"124","서초구","반포동 18-1","신반포역 3번 출구 앞","N",""
"125","서초구","방배동 3160","총신대입구역 2번 출구","N",""
"126","서초구","서초동 1673-11","교대역 1번 출구 뒤","N",""
"127","서초구","서초동 1748-17","서초역 1번 출구 앞","N",""
"128","서초구","서초동 1715-15","교대역 10번 출구 전방 30m 부근","N",""
"129","서초구","서초동 1541-43","서초역 4번 출구 인근","N",""
"130","서초구","서초동 1732-11","서초역 5번 출구 앞","N",""
"131","서초구","서초동 1374","삼성화재 서초사옥 앞","N",""
"132","서초구","서초동 1319-1","강남역 7번 출구 뒤","N",""
"133","서초구","서초동 1319-1","강남역 8번 출구 뒤","N",""
"134","서초구","반포동 749-18","신논현역 2번 출구 인근(스타벅스 앞)","N",""
"135","서초구","서초동 1321-40","강남빌딩 앞 (부띠크모나코 건너편)","N",""
"136","서초구","서초동 711-4","예술의 전당 앞","N",""
"137","서초구","서초동 산150-124","국립국악원 앞","N",""
"138","서초구","서초동 산150-124","국립국악원 앞","N",""
"139","서초구","서초동 산150-124","국립국악원 앞","N",""
"140","서초구","서초동 1445-17","남부터미널 4-1번 출구 (쌍용플래티넘 앞)","N",""
"141","서초구","서초동 1445-17","남부터미널 역 4번 출구 인근","N",""
"142","서초구","서초동 1655-6","서울교대 앞","N",""
"143","서초구","서초동 1598-4","교대사거리 (하나은행 근처)","N",""
"144","서초구","서초동 1748-38","서초3동 사거리","N",""
"145","서초구","반포동 706-8","논현역 4번 출구","N",""
"146","서초구","반포동 128-6","반포역 2번 출구","N",""
"147","서초구","반포동 19-3","고속터미널역 8번 출구","N",""
"148","서초구","방배동 1823","이수역 1번 출구","N",""
"149","서초구","방배동 438-34","이수역 6번 출구","N",""
"150","서초구","방배동 874-16","내방역 6번 출구","N",""
"151","서초구","방배동 149","내방역 3번 출구","N",""
"152","서초구","방배동 444-9","사당역 13번 출구","N",""
"153","서초구","서초동 1375","양재역 2번 출구","N",""
"154","서초구","양재동 13-4","양재역 7번 출구","N",""
"155","서초구","양재동 24","양재역 9번 출구","N",""
"156","서초구","서초동 1376-8","양재역 10번 출구","N",""
"157","서초구","양재동 20-41","교육개발원 입구 사거리(2)","N",""
"158","서초구","양재동 237-2","양재시민의숲역 1번 출구 옆","N",""
"159","서초구","서초동 1366-12","양재역 1번 출구","N",""
"160","서초구","서초동 1542-1","서초역 2번 출구","N",""
"161","서초구","서초동 1377-1","서초1교 (다리 아래)","N",""
"162","서초구","서초동 1418","서초3교 (다리 아래)","N",""
"163","서초구","반포동 30-5","사평역 2번 출구","N",""
"164","서초구","양재동 67-10","교육개발원 입구 사거리(1)","N",""
"165","서초구","양재동 232","AT센터 앞","N",""
"166","강남구","논현동 119","강남구청역 3번 출구","N",""
"167","강남구","논현동 88-1","학동역 9번 출구 ","N",""
"168","강남구","대치동 945-5","삼성역 4번출구","N",""
"169","강남구","삼성동 1","강남구청역 1번 출구","N",""
"170","강남구","삼성동 145","삼성중앙역 5번 출구","N",""
"171","강남구","삼성동 52","청담역 6번 출구 ","N",""
"172","강남구","신사동 501-2","신사역 7번 출구","N",""
"173","강남구","역삼동 679-5","역삼역 8번 출구","N",""
"174","강남구","청담동 41-2","강남구청역 4번 출구","N",""
"175","강남구","청담동 76-4","청담역 9번출구","N",""
"176","송파구","가락동 10-15","경찰병원역 1번 출구 뒤","N",""
"177","송파구","신천동 19","몽촌토성역 4번 출구 앞","N",""
"178","송파구","송파동 1-1","석촌역 4번 출구 뒤","N",""
"179","송파구","가락동 10-15","오금역 4번 출구 앞","N",""
"180","송파구","잠실동 270","잠실새내역 3, 4번 출구 사이","N",""
"181","송파구","방이동 89-28","올림픽공원역 4번 출구 측면","Y","8"
"182","송파구","잠실동 50","종합운동장역 4번 출구 앞","Y","8"
"183","강동구","명일동 46-5","고덕역 4번 출구 인근","N",""
"184","강동구","명일동 303-1","명일역 2번 출구 인근","N",""
"185","강동구","암사동 524","선사고등학교 앞","Y","8"
"186","강동구","강일동 679-6","강동공영차고지 버스정류장(25101) 인근","Y","6"
"187","강동구","강일동 681","강일리버파크3단지308동 버스정류장(25521) 인근","Y","6"
"188","구로구","구로동 188-15","구로G밸리비즈플자라 하나은행 앞","Y","6"
"189","동작구","상도동 511","숭실대입구 3번출구 ","N",""
"190","성북구","길음동 877-66","길음역 3번출구 뒷편","N",""